school_key,school_name,num_teachers,student_teacher_ratio,has_computer_lab,has_library,school_language
e2c72b37-3af9-49ca-9c89-kingo2535dmk,Chavez-Mitchell,18,48.06,FALSE,TRUE,English
e2c72b37-3af9-49ca-9c89-060f146450d9,Sims-Cummings,13,39.69,TRUE,TRUE,English
9c1d7f3e-5856-41ba-9fb9-80f9b276b92f,Mayo Inc,16,14.83,FALSE,FALSE,English
af4b115d-fc6a-4f14-b342-710293a0daa2,Velasquez-Robinson,15,17.97,TRUE,TRUE,English
b53fbcb9-23be-4891-a14b-2f12dd79ceef,Estrada Ltd,22,13.95,TRUE,TRUE,English
03d77683-da95-49b6-a6a0-20f3119b1ee1,Kelley-Miller,14,43.27,FALSE,TRUE,English
ded043e4-1aec-4e13-b350-4c5649f5b924,Ward PLC,19,49.87,TRUE,FALSE,English
94cd79b9-320b-41c7-8ac5-27a585998db0,Young-Smith,6,41.76,FALSE,TRUE,English
68f46ab2-d1e8-4292-af4a-0cc3a49d9cd8,Martinez-Hernandez,5,33.11,TRUE,TRUE,English
a4b992da-525d-4fe4-aa5f-124ff94de952,"Alvarado, Gross and Carlson",10,17.21,TRUE,TRUE,English
b2178b02-8bfe-4a4b-9e47-4d57d743064d,"Hill, Brown and Hudson",25,48.28,TRUE,TRUE,English
2cf1051e-0a13-4b88-bcd8-5083d0182cb9,Ayala-Ramos,8,44.46,FALSE,TRUE,English
b1ca0af4-2126-483d-9195-6e2a85ec3942,Allen Inc,11,20.77,FALSE,TRUE,English
28be7330-5479-4045-8635-1225fec6da8a,Olsen PLC,19,38.4,TRUE,TRUE,English
19ff6d9c-52e0-46c6-8364-6c5a7c5e36c2,Terry Group,9,45.25,TRUE,FALSE,English
93ed9d41-c47d-43b7-859e-0c43260e0c9e,"Heath, Gomez and Powell",19,49.87,FALSE,FALSE,English
e7da315c-438f-4625-8c7a-14d3da4d62a3,"Peterson, Sandoval and Foley",24,13.71,FALSE,TRUE,English
9d59073b-b2ac-4d08-b84d-edff2b3af8a4,Smith PLC,17,22.25,FALSE,FALSE,English
45b9758f-1070-4f07-9d7b-4f7859421462,Brooks PLC,12,15.22,TRUE,FALSE,English
f907c38a-155d-4f35-ae1d-6f6dffb686fa,"Phillips, Crawford and Montoya",5,45.39,TRUE,FALSE,English
4b562046-95bd-4a14-84a8-4ef4773f5f70,"Ray, Dominguez and Cole",23,38.33,FALSE,TRUE,English
3b53b046-48f8-48af-9992-dc5f573a57cb,Jones-Garrison,11,28.1,FALSE,FALSE,English
49c7bee1-44ac-463a-bc15-df6adf98527c,"Ramirez, Nguyen and Payne",16,28.96,FALSE,FALSE,English
3643a5be-8733-47b4-9263-c137ab6b1b0d,"Wood, Hurley and Garcia",18,37.08,TRUE,FALSE,English
c0fd07fa-c2a0-4403-ad7c-46f7c815de28,Wilson-Jackson,8,38.12,TRUE,TRUE,English
801ed62b-eedf-4b20-9524-e5db8bc6b91f,Cross Inc,24,34.19,TRUE,TRUE,English
bd0928f8-21b2-43d2-babd-3bebf4e603bb,"Chavez, Conway and Hickman",10,39.25,FALSE,FALSE,English
15598640-0c2a-44bf-b7a7-8fa790561c8d,Smith-Cole,29,36.64,TRUE,TRUE,English
bd223563-9f9d-4b4a-ab96-bffa21e85e6e,Kramer-Solis,6,24.1,FALSE,FALSE,English
9196efc0-5bd7-4c55-87e3-af757b963899,"Fisher, Brown and Fitzgerald",8,24.44,FALSE,FALSE,English
c08ee2eb-3f14-40a5-837c-182bb8e310c1,"Hardy, Oconnor and Rowe",11,25.38,FALSE,FALSE,English
8292f99c-4eee-4c2f-9535-fcda95888d33,Trujillo-Parker,21,31.05,TRUE,TRUE,English
65556d45-5c41-45a7-aaf5-9ba1082b93d9,"Barber, Jordan and Thompson",6,33.15,FALSE,TRUE,English
b54d367e-fa60-4fb0-8744-0174970d82a0,Howard-Santos,13,31.37,TRUE,TRUE,English
364dd304-710f-4f26-85ea-18f9e41fa107,Atkinson Group,13,24.41,FALSE,FALSE,English
ba965a05-10ad-4b16-a1cd-2777cb58eb93,Harris-Snyder,11,15.11,FALSE,FALSE,English
3dc839b0-aa65-4837-aff0-a8004a6bf1b8,Anderson-Joyce,11,12.34,FALSE,TRUE,English
cea4bd16-7284-4fbe-ab12-4b2e3dc028e5,"Bennett, Flynn and Mcconnell",26,24.27,FALSE,TRUE,English
f75ca1e8-c762-4b98-b785-c44ca7fbd685,Scott Inc,9,44.2,TRUE,FALSE,English
50e8bffb-0c1c-46b1-b5d4-01852439c566,"Lambert, Johnson and Edwards",5,33.2,TRUE,FALSE,English
