age,gender,special_needs,num_children,previous_academic_performance,attendance_rate,language_spoken,marital_status,household_income,parent_education,electricity_access,internet_access,household_size,political_state,num_teachers,student_teacher_ratio,has_computer_lab,has_library,school_language,distance_to_school,qualification,years_of_experience,aid_coverage,parental_involvement,community_support,dropout_status
15,Female,False,1,Average,0.4359442414142358,Local Dialects,Widowed,Low,None,False,False,3,Stable,38,44,False,False,English,15.570668651926166,Master's Degree,3,False,False,True,True
19,Male,False,1,Good,0.5106324544828241,Fulfulde,Married,Low,None,False,True,5,Stable,35,68,True,False,English,24.323783016182173,Bachelor's Degree,12,False,True,True,True
14,Female,False,1,Excellent,0.41024033930392845,Fulfulde,Divorced,Low,None,True,True,3,Conflict,11,55,False,False,English,22.47820442236128,Diploma,28,False,True,True,True
22,Male,False,1,Poor,0.5908791843030438,French,Widowed,Low,Secondary,False,False,5,Stable,32,40,False,True,English,2.9924216824546215,Bachelor's Degree,7,False,True,True,True
13,Female,False,3,Average,0.8250222825089012,Local Dialects,Married,Medium,Tertiary,False,True,6,Stable,43,56,False,True,English,3.0862897234879108,Master's Degree,7,False,True,False,False
12,Female,False,1,Average,0.4520400328845116,English,Widowed,Medium,Secondary,True,False,6,Conflict,22,33,False,False,French,0.8778525453459386,Bachelor's Degree,1,False,False,False,True
23,Female,False,2,Excellent,0.6483918026510009,Fulfulde,Single,Low,Primary,False,False,13,Conflict,7,42,False,True,English,3.397364143856573,Bachelor's Degree,15,True,True,False,True
12,Male,False,3,Poor,0.9123438264674976,Fulfulde,Married,Low,Primary,False,True,3,Conflict,26,61,False,True,English,12.941008550585801,Bachelor's Degree,11,False,False,False,True
23,Female,False,3,Good,0.7663195436184669,Local Dialects,Divorced,Low,Tertiary,False,True,5,Stable,45,71,False,False,French,12.85096682143275,Bachelor's Degree,11,False,True,True,True
18,Male,True,3,Poor,0.7562984665689954,Pidgin,Single,Medium,Primary,False,True,3,Stable,5,41,False,False,English,5.374300795168178,Bachelor's Degree,19,False,False,False,True
23,Female,False,1,Excellent,0.9596724782742758,English,Single,Low,Secondary,False,False,4,Stable,5,26,False,True,English,11.990421829055883,Bachelor's Degree,21,False,True,False,True
17,Male,False,4,Excellent,0.9696700799602129,English,Widowed,Low,Primary,False,False,10,Stable,24,66,True,False,French,29.831450035563257,Diploma,21,True,True,False,True
23,Male,False,4,Good,0.7355219160712986,Local Dialects,Divorced,Medium,Primary,True,False,13,Conflict,10,24,False,False,English,5.106005751535667,Bachelor's Degree,28,False,True,True,False
19,Male,False,2,Poor,0.7501875820572217,Local Dialects,Single,Low,Secondary,False,True,11,Stable,15,65,False,False,English,7.0416529062502216,PhD,20,False,True,False,False
19,Female,False,3,Good,0.4766176541892861,Fulfulde,Divorced,High,Primary,False,False,2,Stable,39,42,False,False,French,3.062836259358224,Master's Degree,15,False,True,False,True
20,Male,False,4,Average,0.6195380582017381,English,Widowed,Medium,None,True,False,4,Stable,37,34,False,False,French,21.10695992655994,Bachelor's Degree,1,False,False,False,True
